key_id,key_name
1000001,taalgebruik
1000002,"Promotie Landbouw, Tuinbouw en Zeevisserijproducten vzw."
1000003,Vlaams Fonds promotie producten landbouw/tuinbouw/zeevisserij
1000004,Vlaamse dienst voor agro-marketing
1000005,VLAM
1000006,Vlaams Promotiecentrum voor Agro- en Visserijmarketing
1000007,vrijwilligerswerk
1000008,huisvestingsmaatschappij
1000009,huisvesting
1000010,Vlaamse tewerkstellingsconferentie
1000011,investeringsfonds
1000012,Vlaamse Gemeenschapscommissie
1000013,domeingoederen
1000014,onroerende goederen
1000015,openbaar domein
1000016,privaat domein
1000017,patrimonium
1000018,bouwvergunning
1000019,milieu-effectenrapport
1000020,grondwater
1000021,oppervlaktewater
1000022,ARAB
1000023,algemeen reglement voor de arbeidsbescherming
1000024,afvalwater
1000025,dierlijk afval
1000026,afval
1000027,hinderlijke inrichting
1000028,Vlarem
1000029,milieuvergunning
1000030,economisch beleid
1000031,KMO
1000032,kleine en middelgrote onderneming
1000033,economische expansie
1000034,afvalvoorkoming
1000035,bijzonder plan van aanleg
1000036,gemeentelijk plan van aanleg
1000037,sociaal grondbeleid
1000038,arbeidsbemiddeling
1000039,beroepsopleiding
1000040,inspectie
1000041,onderwijspersoneel
1000042,personeel onderwijs
1000043,personeel psycho-medisch-sociaal centrum
1000044,reaffectatie
1000045,terbeschikkingstelling ontstentenis van betrekking
1000046,wachtgeld
1000047,wedertewerkstelling
1000048,statuut onderwijspersoneel
1000049,pedagogische begeleidingsdienst
1000050,VDAB
1000051,Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding
1000052,buitenlandse student
1000053,studietoelage
1000054,studiebeurs
1000055,"erkenningscommissie inzake outplacement, werving en selectie"
1000056,arbeidsplaatsen
1000057,tewerkstelling
1000058,arbeidsvergunning
1000059,werkgelegenheid
1000060,selectiebureau
1000061,wervingsbureau
1000062,outplacement
1000063,duinen
1000064,kustduin
1000065,gehandicapten
1000066,mentaal gehandicapten
1000067,personen met een handicap
1000068,mindervaliden
1000069,Alden Biesen
1000070,Landcommanderij Alden-Biesen
1000071,cultuurcentrum
1000072,statuut openbare instellingen
1000073,Vlaamse openbare instellingen
1000074,luchtverontreiniging
1000075,vereniging zonder winstoogmerk
1000076,federale terminologie
1000077,Vlaamse Huisvestingsmaatschappij
1000078,Instituut voor Bosbouw en Wildbeheer
1000079,Instituut voor Natuurbehoud
1000080,provincie
1000081,lasten uit het verleden
1000082,schulden van het verleden
1000083,rechtsopvolging
1000084,Vlaams-Brabant
1000085,visserij
1000086,aquicultuur
1000087,overheidsopdrachten
1000088,gemeente
1000089,ondernemersopleiding
1000090,voortdurende vorming voor de middenstand
1000091,middenstandsvorming
1000092,bedrijfsbegeleiding
1000093,Raad voor Nederlandstalige dramatische kunst
1000094,podiumkunsten
1000095,Raad voor kunstencentra
1000096,Raad voor dans
1000097,Raad voor muziektheater
1000098,pensioen
1000099,ambtenaren
1000100,statuut ambtenaar
1000101,dienstencentrum
1000102,centrum voor dagverzorging
1000103,dagverzorgingscentrum
1000104,serviceflat
1000105,rusthuis
1000106,voorzieningen voor bejaarden
1000107,bejaarden
1000108,VIPA
1000109,Vlaams infrastructuurfonds voor Persoonsgebonden Aangelegenheden
1000110,BRTN
1000111,VRT
1000112,Vlaamse Radio en Televisie
1000113,gemeentepersoneel
1000114,statuut gemeentepersoneel
1000115,Waterwegen en Zeekanaal
1000116,Zeekanaal en Watergebonden Grondbeheer Vlaanderen
1000117,NV Zeekanaal en Watergebonden Grondbeheer Vlaanderen
1000118,VFSIPH
1000119,Vlaams Fonds Sociale Integratie Personen met een Handicap
1000120,sociale integratie
1000121,zelfstandig wonen
1000122,Instituut voor het Archeologisch Patrimonium
1000123,Vlaamse Archeologische Raad
1000124,archeologisch patrimonium
1000125,migranten
1000126,milieubeleidsovereenkomst
1000127,Fonds voor preventie en sanering inz. leefmilieu en natuur
1000128,mina-fonds
1000129,Vlaamse Milieumaatschappij
1000130,beroepsonderwijs
1000131,secundair onderwijs
1000132,vennootschap
1000133,intercommunale
1000134,openbaar psychiatrisch centrum
1000135,Openbaar Psychiatrisch Ziekenhuis
1000136,gebouwenfonds voor de rijksscholen
1000137,commissariaat-generaal voor de internationale samenwerking
1000138,Maatschappij voor Brugse Zeevaartinrichtingen
1000139,Dienst voor de Scheepvaart
1000140,Vlaamse Maatschappij voor Watervoorziening
1000141,Dienst Infrastructuurwerken van het Gesubsidieerd Onderwijs
1000142,DIGO
1000143,ARGO
1000144,Autonome Raad voor het Gemeenschapsonderwijs
1000145,Kind en Gezin
1000146,Toerisme Vlaanderen
1000147,Vlaamse Maatschappij voor Waterzuivering
1000148,Wegenfonds
1000149,Vlaamse Landmaatschappij
1000150,OVAM
1000151,Openbare Afvalstoffenmaatschappij voor het Vlaamse Gewest
1000152,"Vlaams Commissariaat-Generaal Bevordering Lichamelijke Ontwikkeling, Sport en Openluchtrecreatie"
1000153,BLOSO
1000154,fonds
1000155,begrotingsfonds
1000156,bijzondere jeugdbijstand
1000157,bestuurlijk beleid
1000158,GIS
1000159,Geografisch Informatiesysteem
1000160,diploma
1000161,getuigschrift
1000162,bekwaamheidsbewijs
1000163,buitengewoon onderwijs
1000164,godsdienstonderwijs
1000165,kunstonderwijs
1000166,Fonds voor het Werelderfgoed
1000167,commissie voor het Werelderfgoed
1000168,cultureel en natuurlijk erfgoed
1000169,commissie dierlijk afval
1000170,volksontwikkeling
1000171,sociaal-cultureel vormings- en ontwikkelingswerk
1000172,Vlaamse Raad voor Wetenschapsbeleid
1000173,centrum voor beroepsopleiding
1000174,subregionaal tewerkstellingscomité
1000175,presentiegeld
1000176,rationalisatie en programmatie
1000177,woonwagenbewoners
1000178,zigeuners
1000179,basisonderwijs
1000180,Vlaams Instituut Bevordering Wetenschappelijk-Technologisch Onderzoek Industrie
1000181,IWT
1000182,specialisatiebeurs
1000183,plan van aanleg
1000184,gewestplan
1000185,leerlingenbegeleiding
1000186,centrum voor leerlingenbegeleiding
1000187,ziektecontrole
1000188,kinderdagverblijf
1000189,kinderopvang
1000190,uitzendbureau
1000191,uitzendarbeid
1000192,dorpsgezicht
1000193,stadsgezicht
1000194,monument
1000195,delegatie
1000196,schooljaar
1000197,onderwijs voor sociale promotie
1000198,sociale promotie
1000199,VIZO
1000200,Vlaams Instituut voor het Zelfstandig Ondernemen
